"module name","license","repository"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@jridgewell/gen-mapping@0.3.5","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@next/env@14.2.6","MIT","https://github.com/vercel/next.js"
"@next/swc-win32-x64-msvc@14.2.6","MIT","https://github.com/vercel/next.js"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@radix-ui/number@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-compose-refs@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-direction@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.0.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-scroll-area@1.2.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.0","MIT","https://github.com/radix-ui/primitives"
"@swc/counter@0.1.3","Apache-2.0","https://github.com/swc-project/pkgs"
"@swc/helpers@0.5.5","Apache-2.0","https://github.com/swc-project/swc"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"arg@5.0.2","MIT","https://github.com/vercel/arg"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"camelcase-css@2.0.1","MIT","https://github.com/stevenvachon/camelcase-css"
"caniuse-lite@1.0.30001680","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"class-variance-authority@0.7.0","Apache-2.0","https://github.com/joe-bell/cva"
"client-only@0.0.1","MIT",""
"clsx@2.0.0","MIT","https://github.com/lukeed/clsx"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@4.1.1","MIT","https://github.com/tj/commander.js"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"cssesc@3.0.0","MIT","https://github.com/mathiasbynens/cssesc"
"didyoumean@1.2.2","Apache-2.0","https://github.com/dcporter/didyoumean.js"
"dlv@1.1.3","MIT","https://github.com/developit/dlv"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"fast-glob@3.3.2","MIT","https://github.com/mrmlnc/fast-glob"
"fastq@1.17.1","ISC","https://github.com/mcollina/fastq"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
